filename,AbsRel,RMSE,MAE,a1,image_width,image_height,Problem_Type,aspect_ratio
00022_00196_outdoor_290_030.png,2.28946852684021,15.367972373962402,12.890896797180176,0.2059110404079535,1024,768,High Relative Error,1.3333333333333333
00022_00194_outdoor_180_030.png,2.279656171798706,13.369627952575684,11.616703033447266,0.1227832143925473,1024,768,High Relative Error,1.3333333333333333
00022_00194_outdoor_000_020.png,1.8990561962127688,10.86157512664795,8.86803913116455,0.1134787110133298,1024,768,High Relative Error,1.3333333333333333
00022_00194_outdoor_000_020.png,1.8990561962127688,10.86157512664795,8.86803913116455,0.1134787110133298,1024,768,High Relative Error,1.3333333333333333
00022_00197_outdoor_060_020.png,1.8153375387191768,20.34678649902344,15.207390785217283,0.2836535636641401,1024,768,High Relative Error,1.3333333333333333
00022_00194_outdoor_160_030.png,1.719175100326538,12.451146125793455,10.241680145263672,0.3094754165809504,1024,768,High Relative Error,1.3333333333333333
00022_00193_outdoor_210_020.png,1.6607171297073364,11.532557487487791,8.800287246704102,0.2381410670580588,1024,768,High Relative Error,1.3333333333333333
00022_00193_outdoor_210_020.png,1.6607171297073364,11.532557487487791,8.800287246704102,0.2381410670580588,1024,768,High Relative Error,1.3333333333333333
00022_00196_outdoor_300_040.png,1.5494632720947266,12.385526657104492,9.056635856628418,0.5722879637923719,1024,768,High Relative Error,1.3333333333333333
00022_00194_outdoor_020_030.png,1.5058071613311768,9.978659629821776,7.439892292022705,0.4937500843064167,1024,768,High Relative Error,1.3333333333333333
00022_00193_outdoor_180_020.png,1.3521604537963867,11.956212043762209,9.276205062866213,0.2679026105909743,1024,768,High Relative Error,1.3333333333333333
00022_00193_outdoor_180_020.png,1.3521604537963867,11.956212043762209,9.276205062866213,0.2679026105909743,1024,768,High Relative Error,1.3333333333333333
00022_00193_outdoor_220_030.png,1.337548851966858,9.819814682006836,7.0996174812316895,0.3416536821598008,1024,768,High Relative Error,1.3333333333333333
00022_00193_outdoor_220_030.png,1.337548851966858,9.819814682006836,7.0996174812316895,0.3416536821598008,1024,768,High Relative Error,1.3333333333333333
00022_00194_outdoor_340_020.png,1.3202251195907593,11.17903995513916,7.417529106140137,0.2485042228606774,1024,768,High Relative Error,1.3333333333333333
00022_00196_outdoor_310_030.png,1.3150914907455444,14.29464340209961,11.819453239440918,0.2885852584546146,1024,768,High Relative Error,1.3333333333333333
00022_00194_outdoor_170_020.png,1.3115451335906982,10.80191707611084,8.78564167022705,0.1711977209004989,1024,768,High Relative Error,1.3333333333333333
00024_00201_outdoor_050_030.png,1.308169722557068,11.940850257873535,9.001852035522461,0.1708321908109736,1024,768,High Relative Error,1.3333333333333333
00022_00194_outdoor_210_030.png,1.2926251888275146,9.523908615112305,7.989461898803711,0.2311787015469151,1024,768,High Relative Error,1.3333333333333333
00022_00194_outdoor_190_020.png,1.2609946727752686,11.012983322143556,8.266654968261719,0.3350110105093746,1024,768,High Relative Error,1.3333333333333333
00024_00201_outdoor_240_020.png,1.2471559047698977,6.9634108543396,5.328960418701172,0.410740283252857,1024,768,High Relative Error,1.3333333333333333
00022_00193_outdoor_340_020.png,1.217064380645752,10.258498191833496,7.450940132141113,0.2205997162311697,1024,768,High Relative Error,1.3333333333333333
00022_00193_outdoor_340_020.png,1.217064380645752,10.258498191833496,7.450940132141113,0.2205997162311697,1024,768,High Relative Error,1.3333333333333333
00022_00197_outdoor_350_020.png,1.191017746925354,10.22885513305664,8.42287826538086,0.5302158076635137,1024,768,High Relative Error,1.3333333333333333
00022_00196_outdoor_300_020.png,1.143577218055725,13.225333213806152,10.672354698181152,0.3705528917021548,1024,768,High Relative Error,1.3333333333333333
00022_00194_outdoor_150_020.png,1.0136535167694092,9.879048347473145,7.577739715576172,0.4156593579439105,1024,768,High Relative Error,1.3333333333333333
00022_00197_outdoor_330_020.png,0.9995593428611756,10.308337211608888,8.229384422302246,0.3710561817714126,1024,768,High Relative Error,1.3333333333333333
00024_00201_outdoor_000_020.png,0.9673426151275636,18.59507369995117,12.377893447875977,0.2324818407982118,1024,768,High Relative Error,1.3333333333333333
00022_00196_outdoor_250_010.png,0.9597991108894348,7.967344760894775,6.07541036605835,0.2582622474694775,1024,768,High Relative Error,1.3333333333333333
00022_00193_outdoor_240_030.png,0.8995866775512695,8.713089942932129,7.002310276031494,0.4240669216134087,1024,768,High Relative Error,1.3333333333333333
00022_00193_outdoor_240_030.png,0.8995866775512695,8.713089942932129,7.002310276031494,0.4240669216134087,1024,768,High Relative Error,1.3333333333333333
00022_00193_outdoor_350_010.png,0.8794319033622742,7.413566589355469,5.144172191619873,0.4167874077976817,1024,768,High Relative Error,1.3333333333333333
00022_00193_outdoor_350_010.png,0.8794319033622742,7.413566589355469,5.144172191619873,0.4167874077976817,1024,768,High Relative Error,1.3333333333333333
00022_00193_outdoor_230_040.png,0.8558117747306824,8.012575149536133,5.442997455596924,0.5686203978617951,1024,768,High Relative Error,1.3333333333333333
00022_00193_outdoor_230_040.png,0.8558117747306824,8.012575149536133,5.442997455596924,0.5686203978617951,1024,768,High Relative Error,1.3333333333333333
00024_00201_outdoor_220_030.png,0.8428657054901123,11.713485717773438,6.4035258293151855,0.4198887951631637,1024,768,High Relative Error,1.3333333333333333
00024_00201_outdoor_060_040.png,0.81884765625,6.919692039489746,5.754178047180176,0.395595504337545,1024,768,High Relative Error,1.3333333333333333
00023_00200_outdoor_210_030.png,0.8182975053787231,26.64188575744629,13.183164596557615,0.3514734175710709,1024,768,High Relative Error,1.3333333333333333
